Age,Gender,Education Level,Job Title,Years of Experience,Salary
23.0,Male,PhD,Software Engineer Manager,0.0,52779.0
48.0,Female,Master's Degree,Senior Software Engineer,23.0,185038.0
38.0,Male,Bachelor's Degree,Back end Developer,14.0,136449.0
30.0,Female,Master's Degree,Full Stack Engineer,6.0,110707.0
40.0,Male,Master's Degree,Software Engineer Manager,17.0,151670.0
45.0,Female,Bachelor's Degree,Senior Project Engineer,21.0,167015.0
36.0,Male,Master's Degree,Full Stack Engineer,13.0,146508.0
52.0,Male,PhD,Software Engineer Manager,27.0,190596.0
31.0,Female,Bachelor's Degree,Senior Software Engineer,6.0,104378.0
26.0,Male,Master's Degree,Full Stack Engineer,3.0,70216.0
30.0,Female,Master's Degree,Senior Project Engineer,5.0,101733.0
24.0,Male,Bachelor's Degree,Back end Developer,1.0,55935.0
45.0,Male,Master's Degree,Senior Software Engineer,21.0,180367.0
33.0,Female,Master's Degree,Full Stack Engineer,9.0,135596.0
38.0,Male,Bachelor's Degree,Front end Developer,11.0,136062.0
54.0,Female,PhD,Software Engineer Manager,32.0,191267.0
42.0,Male,Master's Degree,Full Stack Engineer,19.0,177347.0
29.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,103579.0
45.0,Male,Master's Degree,Software Engineer Manager,19.0,163780.0
36.0,Male,Bachelor's Degree,Front end Developer,12.0,137878.0
30.0,Female,Master's Degree,Senior Project Engineer,4.0,92438.0
28.0,Male,Master's Degree,Full Stack Engineer,5.0,84181.0
46.0,Female,PhD,Software Engineer Manager,21.0,174821.0
34.0,Male,Bachelor's Degree,Back end Developer,10.0,126520.0
44.0,Male,Master's Degree,Senior Software Engineer,18.0,152168.0
55.0,Female,PhD,Software Engineer Manager,29.0,190543.0
35.0,Male,Master's Degree,Full Stack Engineer,9.0,131547.0
54.0,Male,Bachelor's Degree,Senior Project Engineer,28.0,192292.0
23.0,Female,High School,Back end Developer,1.0,52807.0
46.0,Male,Master's Degree,Senior Software Engineer,20.0,174938.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,124071.0
26.0,Male,Master's Degree,Front end Developer,3.0,73640.0
43.0,Female,PhD,Software Engineer Manager,19.0,156486.0
36.0,Male,Master's Degree,Full Stack Engineer,11.0,138859.0
23.0,Female,Bachelor's Degree,Senior Project Engineer,0.0,52831.0
49.0,Male,Master's Degree,Software Engineer Manager,23.0,182392.0
35.0,Female,Master's Degree,Full Stack Engineer,11.0,151078.0
