Age,Gender,Education Level,Job Title,Years of Experience,Salary
22.0,Female,High School,Sales Associate,0.0,25000.0
45.0,Male,Bachelor's Degree,Financial Manager,21.0,250000.0
31.0,Female,Master's Degree,Content Marketing Manager,8.0,120000.0
28.0,Male,Bachelor's Degree,Digital Marketing Manager,4.0,80000.0
29.0,Male,Bachelor's Degree,Senior Product Marketing Manager,6.0,100000.0
35.0,Female,PhD,Director of Marketing,12.0,170000.0
27.0,Male,High School,Sales Representative,3.0,50000.0
33.0,Female,Bachelor's Degree,Marketing Manager,9.0,140000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
25.0,Female,Bachelor's Degree,Marketing Manager,2.0,55000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
29.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
29.0,Male,Bachelor's Degree,Digital Marketing Manager,6.0,95000.0
27.0,Female,Master's Degree,Content Marketing Manager,4.0,80000.0
33.0,Male,PhD,Sales Director,10.0,155000.0
21.0,Female,High School,Junior Sales Representative,0.0,25000.0
36.0,Male,Bachelor's Degree,Sales Manager,11.0,160000.0
25.0,Female,Bachelor's Degree,Marketing Manager,3.0,65000.0
30.0,Male,Master's Degree,Financial Manager,7.0,120000.0
28.0,Female,PhD,Director of Marketing,6.0,105000.0
26.0,Male,Bachelor's Degree,Senior Product Marketing Manager,5.0,85000.0
28.0,Female,Master's Degree,Marketing Manager,7.0,110000.0
34.0,Male,PhD,Director of Marketing,12.0,170000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
24.0,Female,High School,Sales Associate,1.0,30000.0
